"","dteday","season","yr","mnth","holiday","weekday","workingday","weathersit","temp","atemp","hum","windspeed","casual","registered","cnt","week","growths","avgs"
"1",2011-01-08,"1","0","1",FALSE,"6",FALSE,"2",6.765,8.1127,53.5833,17.875868,68,891,959,2,0.88749601614788,1193.42857142857
"2",2011-01-09,"1","0","1",FALSE,"0",FALSE,"1",5.671653,5.80875,43.4167,24.25065,54,768,822,2,0.88749601614788,1193.42857142857
"3",2011-01-10,"1","0","1",FALSE,"1",TRUE,"1",6.184153,7.5444,48.2917,14.958889,41,1280,1321,2,0.88749601614788,1193.42857142857
"4",2011-01-11,"1","0","1",FALSE,"2",TRUE,"2",6.932731,9.5732,68.6364,8.182844,43,1220,1263,2,0.88749601614788,1193.42857142857
"5",2011-01-12,"1","0","1",FALSE,"3",TRUE,"1",7.081807,8.02365,59.9545,20.410009,25,1137,1162,2,0.88749601614788,1193.42857142857
"6",2011-01-13,"1","0","1",FALSE,"4",TRUE,"1",6.765,7.54415,47.0417,20.167,38,1368,1406,2,0.88749601614788,1193.42857142857
"7",2011-01-14,"1","0","1",FALSE,"5",TRUE,"1",6.59567,9.42065,53.7826,8.478716,54,1367,1421,2,0.88749601614788,1193.42857142857
"8",2011-01-15,"1","0","1",FALSE,"6",FALSE,"2",9.566653,12.4056,49.875,10.583521,222,1026,1248,3,1.10785252573617,1322.14285714286
"9",2011-01-16,"1","0","1",FALSE,"0",FALSE,"1",9.498347,11.71085,48.375,12.625011,251,953,1204,3,1.10785252573617,1322.14285714286
"10",2011-01-17,"1","0","1",TRUE,"1",FALSE,"2",7.209153,8.83855,53.75,12.999139,117,883,1000,3,1.10785252573617,1322.14285714286
"11",2011-01-18,"1","0","1",FALSE,"2",TRUE,"2",8.883347,11.61665,86.1667,9.833925,9,674,683,3,1.10785252573617,1322.14285714286
"12",2011-01-19,"1","0","1",FALSE,"3",TRUE,"2",11.979134,14.9211,74.1739,13.957239,78,1572,1650,3,1.10785252573617,1322.14285714286
"13",2011-01-20,"1","0","1",FALSE,"4",TRUE,"2",10.728347,12.7525,53.8333,13.125568,83,1844,1927,3,1.10785252573617,1322.14285714286
"14",2011-01-21,"1","0","1",FALSE,"5",TRUE,"1",7.2775,7.89165,45.7083,23.667214,75,1468,1543,3,1.10785252573617,1322.14285714286
"15",2011-01-22,"1","0","1",FALSE,"6",FALSE,"1",2.4243464,3.95348,40,11.52199,93,888,981,4,0.807347379794705,1067.42857142857
"16",2011-01-23,"1","0","1",FALSE,"0",FALSE,"1",3.9573897,4.941955,43.6522,16.5222,150,836,986,4,0.807347379794705,1067.42857142857
"17",2011-01-24,"1","0","1",FALSE,"1",TRUE,"1",3.9930433,5.8965,49.1739,10.60811,86,1330,1416,4,0.807347379794705,1067.42857142857
"18",2011-01-25,"1","0","1",FALSE,"2",TRUE,"2",9.162598,11.7263,61.6957,8.696332,186,1799,1985,4,0.807347379794705,1067.42857142857
"19",2011-01-26,"1","0","1",FALSE,"3",TRUE,"3",8.9175,10.18,86.25,19.68795,34,472,506,4,0.807347379794705,1067.42857142857
"20",2011-01-27,"1","0","1",FALSE,"4",TRUE,"1",7.995,10.985,68.75,7.627079,15,416,431,4,0.807347379794705,1067.42857142857
"21",2011-01-28,"1","0","1",FALSE,"5",TRUE,"2",8.342598,11.16585,79.3043,8.2611,38,1129,1167,4,0.807347379794705,1067.42857142857
"22",2011-01-29,"1","0","1",FALSE,"6",FALSE,"1",8.057402,10.6063,65.1739,9.739455,123,975,1098,5,1.31678265524625,1405.57142857143
"23",2011-01-30,"1","0","1",FALSE,"0",FALSE,"1",8.877402,12.5161,72.2174,4.9568342,140,956,1096,5,1.31678265524625,1405.57142857143
"24",2011-01-31,"1","0","1",FALSE,"1",TRUE,"2",7.414153,9.3125,60.375,12.541864,42,1459,1501,5,1.31678265524625,1405.57142857143
"25",2011-02-01,"1","0","2",FALSE,"2",TRUE,"2",7.879134,11.7265,82.9565,3.565271,47,1313,1360,5,1.31678265524625,1405.57142857143
"26",2011-02-02,"1","0","2",FALSE,"3",TRUE,"2",10.66,12.72085,77.5417,17.708636,72,1454,1526,5,1.31678265524625,1405.57142857143
"27",2011-02-03,"1","0","2",FALSE,"4",TRUE,"1",7.665237,8.8939,43.7826,18.609384,61,1489,1550,5,1.31678265524625,1405.57142857143
"28",2011-02-04,"1","0","2",FALSE,"5",TRUE,"2",8.663464,11.42935,58.5217,8.565213,88,1620,1708,5,1.31678265524625,1405.57142857143
"29",2011-02-05,"1","0","2",FALSE,"6",FALSE,"2",9.566653,12.1529,92.9167,10.792293,100,905,1005,6,1.09350543754447,1537
"30",2011-02-06,"1","0","2",FALSE,"0",FALSE,"1",11.719153,14.58355,56.8333,9.5006,354,1269,1623,6,1.09350543754447,1537
"31",2011-02-07,"1","0","2",FALSE,"1",TRUE,"1",11.138347,15.1829,73.8333,3.0423561,120,1592,1712,6,1.09350543754447,1537
"32",2011-02-08,"1","0","2",FALSE,"2",TRUE,"1",9.054153,9.9123,53.7917,24.25065,64,1466,1530,6,1.09350543754447,1537
"33",2011-02-09,"1","0","2",FALSE,"3",TRUE,"2",5.526103,7.21415,49.4783,12.652213,53,1552,1605,6,1.09350543754447,1537
"34",2011-02-10,"1","0","2",FALSE,"4",TRUE,"1",5.918268,7.4774,43.7391,14.869645,47,1491,1538,6,1.09350543754447,1537
"35",2011-02-11,"1","0","2",FALSE,"5",TRUE,"1",7.752731,10.67545,50.6364,7.27285,149,1597,1746,6,1.09350543754447,1537
"36",2011-02-12,"1","0","2",FALSE,"6",FALSE,"1",9.1225,11.6477,54.4167,13.625589,288,1184,1472,7,1.32967747931964,2043.71428571429
"37",2011-02-13,"1","0","2",FALSE,"0",FALSE,"1",12.977402,16.20565,45.7391,17.479161,397,1192,1589,7,1.32967747931964,2043.71428571429
"38",2011-02-14,"1","0","2",FALSE,"1",TRUE,"1",17.015,19.9175,37.5833,27.999836,208,1705,1913,7,1.32967747931964,2043.71428571429
"39",2011-02-15,"1","0","2",FALSE,"2",TRUE,"1",10.909567,12.7137,31.4348,19.522058,140,1675,1815,7,1.32967747931964,2043.71428571429
"40",2011-02-16,"1","0","2",FALSE,"3",TRUE,"1",13.048701,15.81,42.3478,16.869997,218,1897,2115,7,1.32967747931964,2043.71428571429
