"","dteday","season","yr","mnth","holiday","weekday","workingday","weathersit","temp","atemp","hum","windspeed","casual","registered","cnt","week","wavg_cnt","wavg_reg","wavg_cas"
"1",2012-01-01,"1","1","1",FALSE,"0",FALSE,"1",15.17,18.78105,69.25,12.875189,686,1608,2294,1,NA,NA,NA
"2",2012-01-02,"1","1","1",TRUE,"1",FALSE,"1",11.194763,12.6152,38.1304,22.087555,244,1707,1951,1,NA,NA,NA
"3",2012-01-03,"1","1","1",FALSE,"2",TRUE,"1",6.15,6.31375,44.125,24.499957,89,2147,2236,1,NA,NA,NA
"4",2012-01-04,"1","1","1",FALSE,"3",TRUE,"2",4.4075,5.96685,41.4583,12.3749,95,2273,2368,1,NA,NA,NA
"5",2012-01-05,"1","1","1",FALSE,"4",TRUE,"1",10.899153,13.9206,52.4167,8.709129,140,3132,3272,1,NA,NA,NA
"6",2012-01-06,"1","1","1",FALSE,"5",TRUE,"1",13.700847,17.01335,54.2083,11.249836,307,3791,4098,1,NA,NA,NA
"7",2012-01-07,"1","1","1",FALSE,"6",FALSE,"1",16.126653,19.53895,53.1667,11.708786,1070,3451,4521,1,NA,NA,NA
"8",2012-01-08,"1","1","1",FALSE,"0",FALSE,"1",13.8375,17.0129,46.5,12.833314,599,2826,3425,2,1344.71428571429,1200.71428571429,144
"9",2012-01-09,"1","1","1",FALSE,"1",TRUE,"2",9.190847,12.37395,70.1667,6.6263,106,2270,2376,2,1344.71428571429,1200.71428571429,144
"10",2012-01-10,"1","1","1",FALSE,"2",TRUE,"1",12.656536,15.9413,64.6522,12.565984,173,3425,3598,2,1344.71428571429,1200.71428571429,144
"11",2012-01-11,"1","1","1",FALSE,"3",TRUE,"2",11.240847,14.14105,84.75,8.791807,92,2085,2177,2,1344.71428571429,1200.71428571429,144
"12",2012-01-12,"1","1","1",FALSE,"4",TRUE,"2",15.6825,19.0969,80.2917,12.124789,269,3828,4097,2,1344.71428571429,1200.71428571429,144
"13",2012-01-13,"1","1","1",FALSE,"5",TRUE,"1",11.240847,12.4681,50.75,25.333236,174,3040,3214,2,1344.71428571429,1200.71428571429,144
"14",2012-01-14,"1","1","1",FALSE,"6",FALSE,"1",7.38,9.15435,45.75,12.541261,333,2160,2493,2,1344.71428571429,1200.71428571429,144
"15",2012-01-15,"1","1","1",FALSE,"0",FALSE,"1",6.833347,8.08125,41.9167,16.834286,284,2027,2311,3,1193.42857142857,1147.28571428571,46.1428571428571
"16",2012-01-16,"1","1","1",TRUE,"1",FALSE,"1",7.79,9.53315,52.25,15.500986,217,2081,2298,3,1193.42857142857,1147.28571428571,46.1428571428571
