"","i","j","day_diff","idx_diff"
"1",2,1,2.05918016377997,1
"2",3,1,6.71619811466081,2
"3",3,2,4.6630005149988,1
"4",4,1,4.14208492672872,3
"5",4,2,4.37430485357189,2
"6",4,3,2.57801486018293,1
"7",5,1,5.21131130610802,4
"8",5,2,4.7554323147926,3
"9",5,3,1.50913571987158,2
"10",5,4,1.68252573936358,1
"11",6,1,5.17251255225366,5
"12",6,2,5.40473247909683,4
"13",6,3,3.38737656559061,3
"14",6,4,1.77980767224964,2
"15",6,5,1.88248975703781,1
"16",7,1,4.92291282638164,6
"17",7,2,4.9397604449783,5
"18",7,3,1.79328528827917,4
"19",7,4,0.784729571903758,3
"20",7,5,1.01446590205446,2
"21",7,6,1.59409127731144,1
"22",8,1,6.77656101406727,7
"23",8,2,4.7173808502873,6
"24",8,3,1.38559296136704,5
"25",8,4,2.63837775958938,4
"26",8,5,2.89472868123862,3
"27",8,6,3.68401120453411,2
"28",8,7,2.35298938909624,1
"29",9,1,9.5162530097673,8
"30",9,2,7.45707284598733,7
"31",9,3,2.80005489510649,6
"32",9,4,5.37806975528942,5
"33",9,5,4.30494170365928,4
"34",9,6,6.1874314606971,3
"35",9,7,4.59334018338566,2
"36",9,8,2.73969199570003,1
"37",10,1,6.76804935679644,9
"38",10,2,5.36622293383842,8
"39",10,3,1.31694807781008,7
"40",10,4,2.62986610231855,6
"41",10,5,2.17471262097767,5
"42",10,6,3.43922780772623,4
"43",10,7,1.8451365304148,3
"44",10,8,1.12393570796204,2
"45",10,9,2.74820365297086,1
"46",11,1,4.36056996024011,10
"47",11,2,4.59278988708328,9
"48",11,3,3.35221929187923,8
"49",11,4,1.50833887496651,7
"50",11,5,3.19086461433009,6
"51",11,6,2.29545708200845,5
"52",11,7,2.17639871227563,4
"53",11,8,3.41258219128569,3
"54",11,9,6.15227418698572,2
"55",11,10,3.40407053401486,1
"56",12,1,6.87178373486329,11
"57",12,2,4.81260357108333,10
"58",12,3,2.33748225793045,9
"59",12,4,2.85609282884788,8
"60",12,5,3.84661797780203,7
"61",12,6,4.63590050109752,6
"62",12,7,3.30487868565965,5
"63",12,8,0.951889296563405,4
"64",12,9,2.64446927490401,3
"65",12,10,2.01253265079013,2
"66",12,11,3.50780491208172,1
"67",13,1,7.8631375093983,12
"68",13,2,5.80395734561833,11
"69",13,3,1.5925910300218,10
"70",13,4,3.72495425492041,9
"71",13,5,3.10172674989337,8
"72",13,6,4.53431596032809,7
"73",13,7,2.94022468301666,6
"74",13,8,1.08657649533103,5
"75",13,9,1.653115500369,4
"76",13,10,1.09508815260186,3
"77",13,11,4.49915868661672,2
"78",13,12,1.08569620956038,1
"79",14,1,5.35596503090275,13
"80",14,2,5.58818495774592,12
"81",14,3,2.27721222704423,11
"82",14,4,1.21388010417403,10
"83",14,5,2.18902933856922,9
"84",14,6,1.40848703731238,8
"85",14,7,1.17456343651476,7
"86",14,8,2.30232188955825,6
"87",14,9,5.04201388525828,5
"88",14,10,2.29381023228742,4
"89",14,11,1.11026030172744,3
"90",14,12,3.22741346378513,2
"91",14,13,3.38889838488928,1
"92",15,1,4.14932362399937,14
"93",15,2,4.38154355084254,13
"94",15,3,2.63146017198705,12
"95",15,4,1.28623466073733,11
"96",15,5,1.12657336343426,10
"97",15,6,1.28553231034554,9
"98",15,7,0.838174883707883,8
"99",15,8,3.1904381930218,7
"100",15,9,5.43151506709354,6
"101",15,10,2.68331141412268,5
"102",15,11,2.73388952662907,4
"103",15,12,4.14232748958521,3
"104",15,13,3.77839956672454,2
"105",15,14,1.73205425086819,1
"106",16,1,4.82875924145661,15
"107",16,2,4.33300515973758,14
"108",16,3,1.8874388732042,13
"109",16,4,1.4757778711909,12
"110",16,5,0.422427155055021,11
"111",16,6,1.53575952987388,10
"112",16,7,0.807718033881785,9
"113",16,8,2.64810572266234,8
"114",16,9,4.68749376831069,7
"115",16,10,1.93929011533983,6
"116",16,11,2.98411674615741,5
"117",16,12,3.59999501922574,4
"118",16,13,3.03437826794169,3
"119",16,14,1.98228147039654,2
"120",16,15,0.744021298782849,1
"121",17,1,5.56076789740096,16
"122",17,2,4.91976756335723,15
"123",17,3,1.60441146211781,14
"124",17,4,1.42258464292308,13
"125",17,5,1.7013499163711,12
"126",17,6,2.49063243966659,11
"127",17,7,1.15961062422872,10
"128",17,8,1.21579311666631,9
"129",17,9,3.95548511236634,8
"130",17,10,1.20728145939548,7
"131",17,11,2.19678907461939,6
"132",17,12,2.14526806143093,5
"133",17,13,2.30236961199733,4
"134",17,14,1.08652877289194,3
"135",17,15,1.99705942815428,2
"136",17,16,1.45472695779482,1
"137",18,1,2.88606617238275,17
"138",18,2,4.59392224350277,16
"139",18,3,4.93646995429926,15
"140",18,4,2.35845509411633,14
"141",18,5,3.43158314574647,13
"142",18,6,3.06831686552873,12
"143",18,7,3.14318466602009,11
"144",18,8,4.99683285370572,10
"145",18,9,7.73652484940575,9
"146",18,10,4.98832119643489,8
"147",18,11,2.22524339093678,7
"148",18,12,5.09205557450175,6
"149",18,13,6.08340934903675,5
"150",18,14,3.22063846159942,4
"151",18,15,2.8657565816326,3
"152",18,16,3.11598380116095,2
"153",18,17,3.78103973703941,1
"154",19,1,2.21206831873105,18
"155",19,2,1.81294178978596,17
"156",19,3,4.50412979592975,16
"157",19,4,3.17519629013155,15
"158",19,5,3.55632375135226,14
"159",19,6,4.20562391565649,13
"160",19,7,3.74065188153796,12
"161",19,8,4.56449269533621,11
"162",19,9,7.30418469103625,10
"163",19,10,4.55598103806538,9
"164",19,11,3.39368132364294,8
"165",19,12,4.65971541613224,7
"166",19,13,5.65106919066724,6
"167",19,14,4.38907639430558,5
"168",19,15,3.1824349874022,4
"169",19,16,3.13389659629724,3
"170",19,17,3.72065899991689,2
"171",19,18,2.78098045371681,1
"172",20,1,4.18878775254308,19
"173",20,2,3.49870438158375,18
"174",20,3,2.52741036211773,17
"175",20,4,1.57615989455582,16
"176",20,5,1.25672793320885,15
"177",20,6,1.90602809751308,14
"178",20,7,1.44105606339455,13
"179",20,8,2.58777326152419,12
"180",20,9,5.32746525722422,11
"181",20,10,2.57926160425336,10
"182",20,11,3.08449876952233,9
"183",20,12,3.50604775335036,8
"184",20,13,3.67434975685522,7
"185",20,14,2.08948057616217,6
"186",20,15,0.882839169258788,5
"187",20,16,0.834300778153826,4
"188",20,17,1.42106318177348,3
"189",20,18,3.21636582452586,2
"190",20,19,2.29959581814341,1
"191",21,1,8.50872573469815,20
"192",21,2,6.44954557091818,19
"193",21,3,2.05889133277516,18
"194",21,4,4.37054248022026,17
"195",21,5,3.56802705264673,16
"196",21,6,5.17990418562794,15
"197",21,7,3.58581290831651,14
"198",21,8,1.73216472063088,13
"199",21,9,1.00752727506915,12
"200",21,10,1.98748457368599,11
"201",21,11,5.14474691191657,10
"202",21,12,1.63694199983485,9
"203",21,13,0.892574108770079,8
"204",21,14,4.03448661018913,7
"205",21,15,4.42398779202439,6
"206",21,16,3.67996649324154,5
"207",21,17,2.94795783729719,4
"208",21,18,6.7289975743366,3
"209",21,19,6.29665741596709,2
"210",21,20,4.31993798215507,1
"211",22,1,7.934474701966,21
"212",22,2,7.8669421553511,20
"213",22,3,3.20394164035231,19
"214",22,4,3.79629144748811,18
"215",22,5,3.11150984055851,17
"216",22,6,4.60565315289579,16
"217",22,7,3.01156187558436,15
"218",22,8,3.62465492947473,14
"219",22,9,3.35981965363245,13
"220",22,10,2.50071922151269,12
"221",22,11,4.57049587918442,11
"222",22,12,4.51325187230282,10
"223",22,13,3.42755566274244,9
"224",22,14,3.46023557745698,8
"225",22,15,3.84973675929224,7
"226",22,16,3.53393699561353,6
"227",22,17,2.94717459199387,5
"228",22,18,6.15474654160445,4
"229",22,19,6.66783359191076,3
"230",22,20,4.36823777376735,2
"231",22,21,4.14084184896603,1
"232",23,1,8.30826505177283,22
"233",23,2,6.29952050462209,21
"234",23,3,1.63651998962329,20
"235",23,4,4.17008179729495,19
"236",23,5,3.09695374566481,18
"237",23,6,4.97944350270263,17
"238",23,7,3.38535222539119,16
"239",23,8,2.05723327874571,15
"240",23,9,1.82406314896591,14
"241",23,10,1.5402156949764,13
"242",23,11,4.94428622899126,12
"243",23,12,2.9458302215738,11
"244",23,13,1.86013401201342,10
"245",23,14,3.83402592726381,9
"246",23,15,4.22352710909907,8
"247",23,16,3.47950581031622,7
"248",23,17,2.74749715437187,6
"249",23,18,6.52853689141128,5
"250",23,19,6.09619673304178,4
"251",23,20,4.11947729922975,3
"252",23,21,2.57342019823701,2
"253",23,22,1.56742165072902,1
"254",24,1,6.50485909071344,23
"255",24,2,6.73707901755661,22
"256",24,3,2.80642408448502,21
"257",24,4,2.36277416398472,20
"258",24,5,2.71824119601,19
"259",24,6,3.12099795175802,18
"260",24,7,1.79731857257831,17
"261",24,8,2.49479179168024,16
"262",24,9,3.06643350893908,15
"263",24,10,1.48947600667493,14
"264",24,11,3.08584067804665,13
"265",24,12,3.38338873450832,12
"266",24,13,2.58438647159084,11
"267",24,14,1.9755803763192,10
"268",24,15,2.36508155815446,9
"269",24,16,2.51149332783733,8
"270",24,17,1.81731145419938,7
"271",24,18,4.67009134046667,6
"272",24,19,5.53797045411627,5
"273",24,20,3.23837463597286,4
"274",24,21,3.47696058036092,3
"275",24,22,1.48465520113777,2
"276",24,23,1.85844555094461,1
"277",25,1,3.96235707704761,24
"278",25,2,4.19457700389078,23
"279",25,3,3.55108273420202,22
"280",25,4,0.973067874019095,21
"281",25,5,2.04619592564923,20
"282",25,6,1.21015547520605,19
"283",25,7,1.75779744592285,18
"284",25,8,3.61144563360848,17
"285",25,9,6.35113762930851,16
"286",25,10,3.60293397633765,15
"287",25,11,1.33145398415129,14
"288",25,12,3.70666835440451,13
"289",25,13,4.69802212893951,12
"290",25,14,1.39360795385514,11
"291",25,15,1.40243554247777,10
"292",25,16,1.66364386099782,9
"293",25,17,2.39565251694217,8
"294",25,18,1.90496432680186,7
"295",25,19,2.99546844045044,6
"296",25,20,1.75304478537104,5
"297",25,21,5.34361035423936,4
"298",25,22,4.76935932150721,3
"299",25,23,5.14314967131404,2
"300",25,24,3.28470412036944,1
"301",26,1,4.9594128389253,25
"302",26,2,4.37586881942219,24
"303",26,3,3.7032990382575,23
"304",26,4,3.71745426876344,22
"305",26,5,4.70797941771758,21
"306",26,6,5.49726194101307,20
"307",26,7,4.1662401255752,19
"308",26,8,3.28258574913507,18
"309",26,9,5.31878022685986,17
"310",26,10,4.40652145709712,16
"311",26,11,3.63308841034198,15
"312",26,12,2.67431095195585,14
"313",26,13,3.66566472649085,13
"314",26,14,4.62848348100462,12
"315",26,15,5.00368892950076,11
"316",26,16,4.4613564591413,10
"317",26,17,3.96006608661593,9
"318",26,18,2.42894507548434,8
"319",26,19,3.60914743812548,7
"320",26,20,4.36740919326592,6
"321",26,21,4.31125295179071,5
"322",26,22,6.9072406786098,4
"323",26,23,5.33981902788079,3
"324",26,24,5.77737754081531,2
"325",26,25,4.3339094022862,1
"326",27,1,3.95909496429175,26
"327",27,2,4.19131489113492,25
"328",27,3,3.96945676329919,24
"329",27,4,1.39144190311626,23
"330",27,5,2.80466418565432,22
"331",27,6,1.69349417786109,21
"332",27,7,2.17617147502002,20
"333",27,8,4.02981966270565,19
"334",27,9,6.76951165840568,18
"335",27,10,4.02130800543482,17
"336",27,11,0.617237471419958,16
"337",27,12,4.12504238350168,15
"338",27,13,5.11639615803668,14
"339",27,14,1.7274977731474,13
"340",27,15,2.3476890979533,12
"341",27,16,2.59791631748165,11
"342",27,17,2.81402654603934,10
"343",27,18,1.82376839498841,9
"344",27,19,2.99220632769458,8
"345",27,20,2.69829834084657,7
"346",27,21,5.76198438333653,6
"347",27,22,5.18773335060438,5
"348",27,23,5.56152370041121,4
"349",27,24,3.7030781494666,3
"350",27,25,0.945253555475525,2
"351",27,26,3.80376776315198,1
"352",28,1,3.06219211264165,27
"353",28,2,4.598074842726,26
"354",28,3,4.6202161182178,25
"355",28,4,2.04220125803488,24
"356",28,5,3.32688426855685,23
"357",28,6,2.4618577574951,22
"358",28,7,2.82693082993863,21
"359",28,8,4.68057901762426,20
"360",28,9,7.42027101332429,19
"361",28,10,4.67206736035343,18
"362",28,11,1.29837784759846,17
"363",28,12,4.77580173842029,16
"364",28,13,5.76715551295529,15
"365",28,14,2.37825712806601,14
"366",28,15,2.86990918085582,13
"367",28,16,3.12013640038417,12
"368",28,17,3.46478590095795,11
"369",28,18,0.926865543338313,10
"370",28,19,2.78513305294004,9
"371",28,20,3.22051842374909,8
"372",28,21,6.41274373825514,7
"373",28,22,5.83849270552299,6
"374",28,23,6.21228305532983,5
"375",28,24,4.35383750438522,4
"376",28,25,1.46747363837805,3
"377",28,26,3.03540418351797,2
"378",28,27,0.896902851650097,1
"379",29,1,3.92405568165654,28
"380",29,2,4.15627560849971,27
"381",29,3,3.18441656110398,26
"382",29,4,0.606401700921051,25
"383",29,5,2.28878529013587,24
"384",29,6,1.99769476717306,23
"385",29,7,1.39113127282481,22
"386",29,8,3.24477946051044,21
"387",29,9,5.98447145621047,20
"388",29,10,3.23626780323961,19
"389",29,11,0.90207932419422,18
"390",29,12,3.34000218130646,17
"391",29,13,4.33135595584146,16
"392",29,14,1.43190934924621,15
"393",29,15,1.83181020243485,14
"394",29,16,2.08203742196319,13
"395",29,17,2.02898634384413,12
"396",29,18,1.7887291123532,11
"397",29,19,2.95716704505937,10
"398",29,20,2.18241944532811,9
"399",29,21,4.97694418114132,8
"400",29,22,4.40269314840917,7
"401",29,23,4.776483498216,6
"402",29,24,2.91803794727139,5
"403",29,25,0.834342228446187,4
"404",29,26,3.49956717384001,3
"405",29,27,0.785040202195214,2
"406",29,28,1.43579955711382,1
"407",30,1,3.70019713966444,29
"408",30,2,4.28318083097967,28
"409",30,3,5.26501329828635,27
"410",30,4,2.68699843810343,26
"411",30,5,3.76012648973356,25
"412",30,6,1.87763673269575,24
"413",30,7,3.47172801000718,23
"414",30,8,5.32537619769281,22
"415",30,9,8.06506819339284,21
"416",30,10,5.31686454042198,20
"417",30,11,1.91279400640712,19
"418",30,12,5.42059891848884,18
"419",30,13,6.41195269302384,17
